"match_id,inning,batting_team,bowling_team,over,ball,striker,bowler,non_striker,runs_by_batter,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,5.0,6.0,RT Ponting,Z Khan,BB McCullum,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,6.0,1.0,BB McCullum,AA Noffke,RT Ponting,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,6.0,2.0,RT Ponting,AA Noffke,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,6.0,3.0,BB McCullum,AA Noffke,RT Ponting,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,6.0,4.0,RT Ponting,AA Noffke,BB McCullum,2.0,0.0,2.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,6.0,5.0,RT Ponting,AA Noffke,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,6.0,6.0,BB McCullum,AA Noffke,RT Ponting,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,7.0,1.0,BB McCullum,Z Khan,RT Ponting,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,7.0,2.0,BB McCullum,Z Khan,RT Ponting,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,7.0,3.0,RT Ponting,Z Khan,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,7.0,4.0,BB McCullum,Z Khan,RT Ponting,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,7.0,5.0,RT Ponting,Z Khan,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,7.0,6.0,BB McCullum,Z Khan,RT Ponting,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,8.0,1.0,BB McCullum,JH Kallis,RT Ponting,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,8.0,2.0,BB McCullum,JH Kallis,RT Ponting,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,8.0,3.0,BB McCullum,JH Kallis,RT Ponting,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,8.0,4.0,BB McCullum,JH Kallis,RT Ponting,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,8.0,5.0,RT Ponting,JH Kallis,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,8.0,6.0,BB McCullum,JH Kallis,RT Ponting,2.0,0.0,2.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,9.0,1.0,RT Ponting,SB Joshi,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,9.0,2.0,BB McCullum,SB Joshi,RT Ponting,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,9.0,3.0,RT Ponting,SB Joshi,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,9.0,4.0,BB McCullum,SB Joshi,RT Ponting,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,9.0,5.0,BB McCullum,SB Joshi,RT Ponting,6.0,0.0,6.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,9.0,6.0,BB McCullum,SB Joshi,RT Ponting,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,10.0,1.0,BB McCullum,JH Kallis,RT Ponting,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,10.0,2.0,RT Ponting,JH Kallis,BB McCullum,4.0,0.0,4.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,10.0,3.0,RT Ponting,JH Kallis,BB McCullum,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,10.0,4.0,RT Ponting,JH Kallis,BB McCullum,6.0,0.0,6.0,None,0,None,None,None"
